,RandomForest,Permutation
lag_82,0.004364177156415726,0.004882731954538855
sign_lag_82,2.846041202328512e-05,8.878007184853764e-06
abs_lag_82,0.0022409604626180794,0.001967104233132544
lag_83,0.003205146109726219,0.0030273833166052032
sign_lag_83,0.00011254453631650249,3.199082800485753e-05
abs_lag_83,0.002355341894197536,0.00356600855047593
lag_84,0.0035531522502209745,0.0028605388134475885
sign_lag_84,0.000240079680167938,1.2950920088250496e-05
abs_lag_84,0.0026933905439518574,0.002699965886320421
lag_85,0.0019686394733780203,0.0017896105780534244
sign_lag_85,5.154196090621229e-05,7.46044123001388e-05
abs_lag_85,0.007224744142346616,0.00736099621500177
lag_86,0.005084043774633853,0.005949099303549166
sign_lag_86,2.1973197372337137e-05,3.6958506179241015e-06
abs_lag_86,0.002162936332711281,0.0011951077844260748
lag_87,0.0015839514694033377,0.001013118905163124
sign_lag_87,6.119761009356606e-05,2.6414259583440458e-05
abs_lag_87,0.0019097658583168546,0.002370340654203662
lag_88,0.004970507075444992,0.004085489467364034
sign_lag_88,2.1561048609932786e-05,3.885602672255572e-05
abs_lag_88,0.0009237250510869064,0.0010833449150292496
lag_89,0.005327182863183918,0.0030203475155002324
sign_lag_89,0.00012154341767666386,0.0001383290021181649
abs_lag_89,0.0027598359813741573,0.0015956746010564072
lag_90,0.0025417236169146522,0.0030028826620287496
sign_lag_90,6.782809784448486e-05,5.2136833324911704e-05
abs_lag_90,0.0014095701307130807,0.0016975014649823206
lag_91,0.0016885630010546548,0.0016578913068118317
sign_lag_91,0.0003014651080365718,2.095641030684936e-05
abs_lag_91,0.0021083887957443204,0.0015056037645540977
lag_92,0.003190176996279963,0.0014448427574177524
sign_lag_92,0.0004520534521546868,0.00015999612118752226
abs_lag_92,0.002715279163883747,0.002833381093925713
lag_93,0.003131439764166381,0.00635235187574038
sign_lag_93,0.00018446894800544188,-9.195023470576213e-06
abs_lag_93,0.006929924696696104,0.011121432703457779
lag_94,0.0025020310089433877,0.0018613409814165593
sign_lag_94,0.00018232594265409684,6.261694097140503e-05
abs_lag_94,0.005097427724996224,0.0034405044570523955
lag_95,0.00181186401440513,0.0009300069562099833
sign_lag_95,0.00013708201527294273,0.0001344339271789785
abs_lag_95,0.0033130992007793,0.002044438238739932
lag_96,0.003387646953869454,0.0031899045186537965
sign_lag_96,0.0002633467309201299,-7.206331502742635e-05
abs_lag_96,0.003891551750936174,0.0038745926265918327
lag_97,0.0018542656824879634,0.0011887175651651982
sign_lag_97,0.00012610411308657668,-0.00011755240827604485
abs_lag_97,0.004622802777357347,0.003825165487794213
lag_98,0.0022410124028565304,0.0008294003567720587
sign_lag_98,0.0002526749785491744,-0.00012375021448939315
abs_lag_98,0.009131756044832922,0.010208424612794342
lag_99,0.0030336337927545616,0.004127861803146215
sign_lag_99,0.0002518510961663971,3.781740034274339e-05
abs_lag_99,0.004949174111066961,0.005305066361149313
lag_100,0.0036274240856235857,0.0012673519960066826
sign_lag_100,9.585775496677806e-05,-2.614370036259084e-05
abs_lag_100,0.009063192178454978,0.00984408477620562
roll_mean_4,0.008498243870245644,0.007821037485003545
roll_std_4,0.005882598775033259,0.005108772658643024
roll_skew_4,0.003317399657524525,0.0007124472443575836
roll_kurt_4,0.003471024885334561,0.003982441034299833
roll_mean_12,0.011114238497615631,0.006805374595803881
roll_std_12,0.005608143274724978,0.006173186414328402
roll_skew_12,0.0028713115822924682,0.004223586334922191
roll_kurt_12,0.005297057029783746,0.005448616651108784
roll_mean_26,0.012845645418639782,0.019110172294049654
roll_std_26,0.001893526410969019,0.001300318377553722
roll_skew_26,0.0014366242767166976,0.0005346605319470621
roll_kurt_26,0.017465377113138666,0.04565146226177437
roll_mean_52,0.029990750546004755,0.02461193630756552
roll_std_52,0.001227394504738078,0.0005179541267217758
roll_skew_52,0.009031093824598317,0.01551300105115977
roll_kurt_52,0.03196316986444282,0.07074426014653626
